id;jugador;minuto;partido;marcador;espenalty
1;1;32;1;1.2;1
2;2;53;1;2.2;0
3;3;19;3;1.0;0
4;1;90;3;2.1;1
5;2;14;5;1.0;0
6;4;35;5;2.2;0
7;5;65;5;3.4;0
8;5;83;5;4.4;0
9;1;8;7;1.0;0
10;6;31;7;2.0;0
11;1;45;7;3.1;0
12;7;54;7;4.1;0
13;1;34;10;1.1;0
14;4;4;11;1.0;0
15;1;32;11;2.0;0
16;4;75;11;3.1;0
17;8;2;12;0.1;0
18;5;23;12;1.2;0
19;6;43;12;2.3;0
20;5;51;12;3.4;0
21;6;78;12;4.5;0
22;5;6;13;1.0;0
23;5;26;13;2.1;0
24;1;51;13;3.1;0
25;1;51;15;1.0;0
26;6;88;15;2.1;0
27;9;47;17;1.0;0
28;5;76;17;2.0;0
29;6;14;18;1.0;0
30;10;45;18;2.1;0
31;11;55;18;3.2;0
32;4;14;19;0.1;0
33;5;8;20;1.0;0
34;6;32;20;2.0;0
35;7;45;20;3.1;0
36;6;11;21;1.0;0
37;6;20;23;1.0;0
38;6;21;23;2.0;0
39;6;45;23;3.1;0
40;1;48;25;1.0;1
41;2;10;26;0.1;0
42;7;14;26;0.2;0
43;5;27;26;0.3;0
44;6;15;27;1.0;0
45;3;83;27;2.1;0
46;5;88;29;1.0;0
47;1;18;30;0.1;0
48;2;34;30;0.2;0
49;4;53;30;0.3;0
50;2;10;31;1.1;0
51;6;42;31;2.1;0
52;6;49;31;3.1;0
53;1;57;31;4.1;0
54;1;63;31;5.1;0
55;6;74;31;6.1;0
56;1;27;32;2.1;0
57;12;12;33;1.0;0
58;3;56;33;2.1;0
59;9;62;34;1.1;0
60;5;90;34;1.2;0
61;12;44;35;1.0;0
62;1;5;36;0.1;0
63;3;19;38;1.1;0
64;3;14;39;0.1;0
65;6;61;39;1.2;0
66;6;75;39;1.3;0
67;13;21;40;1.0;0
68;14;45;40;2.0;0
69;13;62;40;3.1;0
70;4;74;40;4.1;0
71;13;75;40;5.1;0
72;15;62;42;1.1;0
73;6;89;42;2.1;0
74;13;42;43;0.1;0
75;13;54;43;0.2;0
76;1;57;43;0.3;0
77;13;67;43;1.4;0
78;13;75;43;1.5;0
79;6;78;43;1.6;0
80;16;81;43;1.7;0
81;6;8;45;0.1;0
82;6;82;45;0.2;0
83;6;34;46;1.1;0
84;17;42;46;2.1;0
85;16;67;46;3.1;0
86;13;32;48;1.1;0
87;12;51;48;2.3;0
88;1;64;48;3.3;0
89;13;45;49;0.1;0
90;1;36;50;1.0;0
91;1;68;50;2.0;0
92;15;63;51;0.1;0
93;18;65;51;0.2;0
94;14;5;52;1.0;0
95;13;14;52;2.0;0
96;6;17;52;3.0;0
97;16;28;52;4.1;0
98;15;38;52;5.1;0
99;13;9;53;0.1;0
100;15;12;53;0.2;0
101;13;43;53;0.3;0
102;17;53;53;0.4;0
103;19;13;54;1.0;0
104;4;90;54;2.1;0
105;1;16;55;0.1;0
106;19;18;55;0.2;0
107;1;38;55;0.3;0
108;16;55;55;1.4;0
109;1;62;55;1.5;0
110;6;63;55;1.6;0
111;6;71;55;1.7;0
112;1;88;55;2.8;0
113;15;9;56;0.1;0
114;1;35;56;1.2;0
115;12;84;56;2.3;0
