id;nombre;nacimiento;posicion
1;Álvaro Portilla;27/04/1986 0:00;
2;Marcos Cerrudo;11/09/1988 0:00;
3;Toni Miguel;19/04/1991 0:00;
4;Manuel Tello;16/02/1984 0:00;
5;Biendi;14/08/1991 0:00;
6;Álvaro del Moral;09/05/1984 0:00;
7;Álvaro Montero;28/08/1988 0:00;
8;Carlitos;14/09/1989 0:00;
9;Joselu;07/12/1979 0:00;MEC
10;Iñaki;28/12/1986 0:00;
11;Edu Ruiz;21/10/1984 0:00;
12;Raúl Martín;26/07/1982 0:00;
13;Raúl Noguerol;23/01/1996 0:00;
14;Borja Gil;03/12/1990 0:00;
15;Amado;07/07/1987 0:00;
16;Jony;08/07/1991 0:00;
17;Miguel Ángel Marín;03/04/1989 0:00;
18;Eric;03/10/1990 0:00;
19;Roberto Bernal;22/03/1989 0:00;
20;Ramiro;08/05/1991 0:00;
21;Jordi Álvarez;07/09/1997 0:00;
22;Alejandro Roy;08/08/1994 0:00;
23;Pedro Barquero;02/10/1980 0:00;DEF
24;Javi Martínez;04/09/1989 0:00;DEL
25;Guillermo Méndez;31/01/1992 0:00;DEL
26;Alberto Heras;03/02/1992 0:00;MEC
27;Carlos Selfa;25/04/1992 0:00;MEC
28;Federico Cartabia;20/01/1993 0:00;MEC
29;Dani Martín;23/01/1992 0:00;MEC
30;Pascui;15/09/1992 0:00;MPC
31;Israel Puerto;14/06/1993 0:00;DFC
32;Pedro Santos;31/05/1993 0:00;DFC
33;Álex Vallejo;16/01/1992 0:00;DFC
34;Jorge Martínez;18/04/1998 0:00;MPC
35;Borja Docal;02/10/1991 0:00;MPC
36;Jordi Torres;02/09/1996 0:00;DEL
37;Julio;06/12/1995 0:00;DFC
38;Fernando Ortuño;03/09/1998 0:00;DEL
39;Kevin Mallo;09/02/1997 0:00;DEL
40;Óscar Ramírez;28/02/1997 0:00;DFC
41;Javier Ramírez;18/04/1998 0:00;DEL
42;Jesús Suárez;18/08/1997 0:00;DEL
43;David Benítez;29/12/1997 0:00;MEC
44;Jose Luis Gayá;24/05/1995 0:00;DEF
45;Antonio Ramírez;03/08/1997 0:00;DEL
46;Toni Romero;17/02/1997 0:00;DFC
47;Miquel Gutiérrez;09/11/1996 0:00;MPC
48;José Miguel Calatayud;19/07/1999 0:00;MPC
49;Juan Carlos Castellano;01/12/1996 0:00;DEF
;;;
