id;nombre
1;Oviedo
2;Salamanca
3;"Sporting ""B"""
4;Tenerife
5;Leganés
6;Zamora
7;"Real Madrid ""C"""
8;Guijuelo
9;"Atlético ""B"""
10;Sanse
11;Fuenlabrada
12;"Getafe ""B"""
13;Ourense
14;Marino
15;Caudal
16;Avilés
17;Coruxo
18;"Rayo ""B"""
19;C.D. Marino
20;La Roda
21;Noja
22;Izarra
23;Gernika
24;"Real Sociedad ""B"""
25;S. Fernando de Henares
26;Albacete
27;Bilbao Ath.
28;Barakaldo
29;Mirandés
30;Real Unión Club
31;U.D. Logroñés
32;Lemona
33;Bezana
34;Eibar
35;Varea
36;Ontiyent
37;Jaén
38;"Barcelona ""B"""
39;Gimnástic
40;Guadalajara
41;Xerez
42;Recreativo
43;Celta
44;Elche
45;Córdoba
46;Huesca
47;Valladolid
48;Lugo
49;Numancia
50;Getafe
51;Rayo
52;Alcorcón
53;Cartagena
54;Las Palmas
55;"Villarreal ""B"""
56;Murcia
57;Sporting
58;Deportivo
59;Teruel
60;Girona
61;Palencia
62;Hércules
63;Valencia
64;Betis
65;Espanyol
66;Sevilla
67;Levante
68;Málaga
69;Racing
70;Zaragoza
71;Barcelona
72;R. Madrid
73;R. Sociedad
74;Athletic
75;At. Madrid
76;At. Madrid
77;Osasuna
;
