id;competicion;campo;ronda;rival;fecha;resultado;tipo;temporada
1;1;1;2;1;22/08/2012;2.3;3;1
2;2;2;1;2;26/08/2012;3.0;3;1
3;2;1;1;3;02/09/2012;2.1;1;1
4;2;2;1;4;09/09/2012;0.2;3;1
5;2;1;1;5;16/09/2012;4.4;2;1
6;2;2;1;6;19/09/2012;0.0;2;1
7;2;1;1;7;23/09/2012;4.2;1;1
8;2;2;1;8;30/09/2012;3.0;3;1
9;2;1;1;9;07/10/2012;0.2;3;1
10;2;2;1;1;14/10/2012;4.1;3;1
11;2;1;1;10;21/10/2012;3.1;1;1
12;2;2;1;11;28/10/2012;4.5;1;1
13;2;1;1;12;04/11/2012;3.1;1;1
14;2;2;1;13;11/11/2012;2.0;3;1
15;2;1;1;14;18/11/2012;2.1;1;1
16;2;2;1;15;25/11/2012;3.0;3;1
17;2;1;1;16;02/12/2012;2.0;1;1
18;2;1;1;17;05/12/2012;3.2;1;1
19;2;2;1;18;09/12/2012;1.1;2;1
20;2;1;1;19;16/12/2012;3.3;2;1
21;2;1;1;2;30/12/2012;1.2;3;1
22;2;2;1;3;06/01/2013;2.0;3;1
23;2;1;1;4;13/01/2013;3.1;1;1
24;2;2;1;5;20/01/2013;0.0;2;1
25;2;1;1;6;27/01/2013;1.0;1;1
26;2;2;1;7;03/02/2013;0.3;1;1
27;2;1;1;8;10/02/2013;2.1;1;1
28;2;2;1;9;17/02/2013;2.0;3;1
29;2;1;1;1;24/02/2013;1.0;1;1
30;2;2;1;10;27/02/2013;1.3;1;1
31;2;1;1;11;03/03/2013;6.2;1;1
32;2;2;1;12;10/03/2013;2.1;3;1
33;2;1;1;13;17/03/2013;2.1;1;1
34;2;2;1;14;24/03/2013;1.2;1;1
35;2;1;1;15;31/03/2013;1.0;1;1
36;2;2;1;16;07/04/2013;0.1;1;1
37;2;2;1;17;14/04/2013;2.0;3;1
38;2;1;1;18;21/04/2013;1.2;3;1
39;2;2;1;19;28/04/2013;2.3;1;1
40;2;1;1;20;01/09/2013;5.1;1;2
41;2;2;1;5;08/09/2013;1.0;3;2
42;2;1;1;21;15/09/2013;2.1;1;2
43;2;2;1;22;22/09/2013;1.7;1;2
44;2;1;1;23;25/09/2013;0.0;2;2
45;2;2;1;24;29/09/2013;0.2;1;2
46;2;1;1;25;06/10/2013;3.2;1;2
47;2;2;1;26;13/10/2013;2.0;3;2
48;2;1;1;27;20/10/2013;3.3;2;2
49;2;2;1;28;27/10/2013;0.1;1;2
50;2;1;1;29;03/11/2013;2.1;1;2
51;2;2;1;30;10/11/2013;0.2;1;2
52;2;1;1;18;17/11/2013;5.1;1;2
53;2;2;1;31;24/11/2013;0.4;1;2
54;2;1;1;32;01/12/2013;2.1;1;2
55;2;2;1;33;08/12/2013;2.8;1;2
56;2;2;1;12;11/12/2013;3.4;1;2
57;2;1;1;34;15/12/2013;0.0;2;2
58;2;2;1;35;22/12/2013;5.2;1;2
59;2;2;1;20;05/01/2014;1.4;1;2
60;2;1;1;5;12/01/2014;0.1;3;2
61;2;2;1;21;19/01/2014;1.3;1;2
62;2;1;1;22;26/01/2014;3.2;1;2
63;2;2;1;23;02/02/2014;2.0;3;2
64;2;1;1;24;09/02/2014;3.1;1;2
65;2;2;1;25;16/02/2014;2.7;1;2
66;2;1;1;26;23/02/2014;4.0;1;2
67;2;2;1;27;02/03/2014;1.5;1;2
68;2;1;1;28;05/03/2014;3.2;1;2
69;2;2;1;29;09/03/2014;2.1;3;2
70;2;1;1;30;16/03/2014;1.0;1;2
71;2;2;1;18;23/03/2014;2.4;1;2
72;2;1;1;31;30/03/2014;1.1;2;2
73;2;2;1;32;06/04/2014;2.5;1;2
74;2;1;1;33;13/04/2014;3.2;1;2
75;2;1;1;12;20/04/2014;1.1;2;2
76;2;2;1;34;27/04/2014;1.0;3;2
77;2;1;1;35;04/05/2014;2.1;1;2
78;2;1;5;36;25/05/2014;2.1;1;2
79;2;2;5;36;01/06/2014;0.1;1;2
80;2;2;6;37;08/06/2014;2.2;2;2
81;2;1;6;37;15/06/2014;2.0;1;2
82;3;1;1;38;24/08/2014;3.0;1;3
83;3;2;1;39;30/08/2014;1.2;1;3
84;1;1;7;40;03/09/2014;2.1;1;3
85;3;1;1;41;06/09/2014;3.1;1;3
86;3;2;1;42;13/09/2014;0.1;3;3
87;3;1;1;43;20/09/2014;1.0;1;3
88;3;2;1;44;27/09/2014;0.1;3;3
89;3;2;1;45;04/10/2014;3.3;2;3
90;1;1;8;46;08/10/2014;4.1;1;3
91;3;1;1;47;11/10/2014;3.3;2;3
92;3;2;1;48;18/10/2014;1.3;1;3
93;3;1;1;49;25/10/2014;2.2;2;3
94;1;1;9;50;29/10/2014;0.2;3;3
95;3;2;1;31;01/11/2014;0.0;2;3
96;3;1;1;46;08/11/2014;0.2;3;3
97;1;2;10;50;12/11/2014;1.2;3;3
98;3;2;1;40;15/11/2014;3.3;2;3
99;3;1;1;51;22/11/2014;3.2;1;3
100;3;2;1;52;29/11/2014;0.1;3;3
101;3;1;1;53;06/12/2014;1.1;2;3
102;3;2;1;54;13/12/2014;3.3;2;3
103;3;1;1;55;20/12/2014;3.0;1;3
104;3;2;1;56;04/01/2015;1.2;1;3
105;3;1;1;57;10/01/2015;2.3;3;3
106;3;2;1;58;17/01/2015;2.0;3;3
107;3;2;1;38;24/01/2015;2.4;1;3
108;3;1;1;39;31/01/2015;4.2;1;3
109;3;2;1;41;07/02/2015;3.0;3;3
110;3;1;1;42;14/02/2015;1.0;1;3
111;3;2;1;43;21/02/2015;1.2;1;3
112;3;1;1;44;28/02/2015;0.0;2;3
113;3;1;1;45;04/03/2015;1.2;3;3
114;3;2;1;47;07/03/2015;1.2;1;3
115;3;1;1;48;14/03/2015;2.0;1;3
116;3;2;1;49;21/03/2015;4.3;3;3
117;3;1;1;31;28/03/2015;1.0;1;3
118;3;2;1;46;04/04/2015;2.1;3;3
119;3;1;1;40;11/04/2015;4.2;1;3
120;3;2;1;51;18/04/2015;2.4;1;3
121;3;1;1;52;25/04/2015;2.1;1;3
122;3;2;1;53;02/05/2015;0.1;1;3
123;3;1;1;54;09/05/2015;2.1;1;3
124;3;2;1;55;16/05/2015;0.3;1;3
125;3;1;1;56;23/05/2015;0.1;3;3
126;3;2;1;57;30/05/2015;3.2;3;3
127;3;1;1;58;07/06/2015;1.1;2;3
128;3;1;1;58;23/08/2015;0.0;2;4
129;3;2;1;46;29/08/2015;1.2;1;4
130;1;2;7;59;02/09/2015;0.4;1;4
131;3;1;1;45;05/09/2015;2.1;1;4
132;3;2;1;60;12/09/2015;0.1;1;4
133;3;1;1;61;19/09/2015;4.1;1;4
134;3;2;1;49;26/09/2015;2.1;3;4
135;3;1;1;62;03/10/2015;3.2;1;4
